iter	Passed	Remaining
443	1994	251
444	1998	246
445	2001	242
446	2004	237
447	2008	233
448	2011	228
449	2014	223
450	2017	219
451	2021	214
452	2025	210
453	2029	205
454	2033	201
455	2037	196
456	2040	192
457	2044	187
458	2047	182
459	2050	178
460	2054	173
461	2059	169
462	2062	164
463	2066	160
464	2071	155
465	2076	151
466	2080	146
467	2084	142
468	2087	138
469	2091	133
470	2095	129
471	2100	124
472	2104	120
473	2108	115
474	2111	111
475	2115	106
476	2119	102
477	2123	97
478	2128	93
479	2132	88
480	2135	84
481	2139	79
482	2142	75
483	2146	70
484	2150	66
485	2154	62
486	2158	57
487	2162	53
488	2166	48
489	2169	44
490	2173	39
491	2177	35
492	2180	30
493	2184	26
494	2187	22
495	2191	17
496	2195	13
497	2198	8
498	2201	4
499	2205	0
